FID;the_geom;NFDBFIREID;SRC_AGENCY;NAT_PARK;FIRE_ID;FIRENAME;LATITUDE;LONGITUDE;YEAR;MONTH;DAY;REP_DATE;OUT_DATE;SIZE_HA;CAUSE;FIRE_TYPE;RESPONSE;PROTZONE;MORE_INFO
NFDB_point.68;POINT (-1995874.3403521352 638588.2235614285);BC-2023-2023-V53075;BC;;2023-V53075;KLITE RIVER;50.5322;-124.3396;2023;8;29;2023-08-29T00:00:00;2023-11-14T00:00:00;262;N;Fire;MON;;W Klite River
NFDB_point.133;POINT (-1895718.709570457 574099.2149813548);BC-2023-2023-V33029;BC;;2023-V33029;SPETCH CREEK;50.3991;-122.6656;2023;8;29;2023-08-29T00:00:00;2023-11-30T00:00:00;410;N;Fire;MOD;;Spetch Creek
NFDB_point.187;POINT (-1985458.317360883 532378.2117537041);BC-2023-2023-V53027;BC;;2023-V53027;CLOWHOM LAKE;49.7123;-123.5527;2023;8;29;2023-08-29T00:00:00;2023-11-14T00:00:00;415.5;N;Fire;MOD;;Clowhom Lake
NFDB_point.691;POINT (-1702343.2339785194 1645354.6815103241);YT-2023-2023OT004;YT;;2023OT004;;59.934129;-127.74958;2023;8;29;2023-08-29T00:00:00;2023-12-06T00:00:00;475.74;N;;;;LIARD RIVER
NFDB_point.81;POINT (-1979473.669365432 772304.6648570788);BC-2023-2023-C53189;BC;;2023-C53189;C53189;51.6808;-124.994;2023;8;28;2023-08-28T00:00:00;2023-09-16T00:00:00;200;N;Fire;FUL;;W of Hell Raving Creek
NFDB_point.113;POINT (-2004815.1693888425 1003053.005481163);BC-2023-2023-R13068;BC;;2023-R13068;R13068;53.4286;-126.9397;2023;8;28;2023-08-28T00:00:00;2023-12-12T00:00:00;419;N;Fire;MON;;St. Thomas Bay
NFDB_point.127;POINT (-2000754.200937058 985021.3344739606);BC-2023-2023-R13093;BC;;2023-R13093;R13093;53.3021;-126.7535;2023;8;28;2023-08-28T00:00:00;2023-12-12T00:00:00;913;N;Fire;MON;;John Buchanan Island
NFDB_point.216;POINT (-1873212.1756388778 766495.5294766342);BC-2023-2023-C53002;BC;;2023-C53002;C53002;52.0622;-123.5597;2023;8;28;2023-08-28T00:00:00;2024-01-17T00:00:00;1235.3;H;Fire;;;S of Chilko River
NFDB_point.610;POINT (-1714173.017639118 1859005.3225608729);YT-2023-2023WL008;YT;;2023WL008;;61.579784;-129.990649;2023;8;28;2023-08-28T00:00:00;2023-12-05T00:00:00;250;N;;;Transitional;N of Finlayson River
NFDB_point.77;POINT (-1989877.5276038698 765269.3435143628);BC-2023-2023-C52978;BC;;2023-C52978;HELL RAVING CREEK;51.5811;-125.0824;2023;8;27;2023-08-27T00:00:00;2024-01-17T00:00:00;16842;N;Fire;;;S of Twist Creek
NFDB_point.175;POINT (-1890936.0659745745 595885.761677518);BC-2023-2023-V33258;BC;;2023-V33258;V33258;50.5959;-122.7344;2023;8;27;2023-08-27T00:00:00;2023-11-14T00:00:00;300;N;Fire;MON;;Sockeye Creek
NFDB_point.71;POINT (-1847391.2726905718 1120612.7367522065);BC-2023-2023-G52955;BC;;2023-G52955;2023 Holdover Bivouac Creek;55.0552;-125.641;2023;8;26;2023-08-26T00:00:00;;1590.6;N;Fire;;;Bivouac Creek
NFDB_point.111;POINT (-1705247.1194992322 1112796.4195160326);BC-2023-2023-G62952;BC;;2023-G62952;2023 Holdover G62952;55.5756;-123.5436;2023;8;26;2023-08-26T00:00:00;;205.06;N;Fire;;;Head Lake
NFDB_point.20;POINT (-1755018.4940100722 1587170.6751862597);BC-2023-2023-G92947;BC;;2023-G92947;2023 Holdover G92947;59.2269;-128.0591;2023;8;25;2023-08-25T00:00:00;;7301.75;N;Fire;MON;;Davie Creek
NFDB_point.30;POINT (-1447249.3601056575 1437258.4129319382);BC-2023-2023-G92940;BC;;2023-G92940;2023 Holdover G92940;59.2838;-121.8901;2023;8;24;2023-08-24T00:00:00;;71002.7;N;Fire;;;2km West of tommy creek
NFDB_point.153;POINT (-1859914.8795325023 546571.1628995351);BC-2023-2023-K73066;BC;;2023-K73066;;50.3079;-122.044;2023;8;24;2023-08-24T00:00:00;2023-10-20T00:00:00;480.37;N;Fire;MON;;Skudamore Creek
NFDB_point.593;POINT (1092861.1208124566 364610.4314978933);QC-2023-20231080663;QC;;20231080663;;51.0539;-79.1325;2023;8;24;2023-08-24T00:00:00;2023-10-23T00:00:00;300;N;;;Nordique;
NFDB_point.714;POINT (-1099403.939935871 1886751.6781443781);NT-2023-ZF098-23;NT;;ZF098-23;;64.36555;-119.0525;2023;8;24;2023-08-24T00:00:00;2023-09-07T00:00:00;274;N;;MON;;
NFDB_point.715;POINT (-1033578.7320919872 1740802.2580020297);NT-2023-ZF099-23;NT;;ZF099-23;;63.31555;-116.6845;2023;8;24;2023-08-24T00:00:00;2023-10-01T00:00:00;572;N;;MON;;
NFDB_point.356;POINT (-388279.2717414936 940389.4805403403);MB-2023-NO129;MB;;NO129;;57.3806;-101.626;2023;8;23;2023-08-23T00:00:00;;350;N;;MON;;
NFDB_point.171;POINT (-2026599.2826745661 803408.4301018929);BC-2023-2023-V93289;BC;;2023-V93289;V93289;51.7347;-125.8142;2023;8;22;2023-08-22T00:00:00;2023-12-13T00:00:00;433;N;Fire;MON;;West of the Klinaklini River
NFDB_point.301;POINT (-547884.3166722622 1150480.5063150083);SK-2023-23SR-EISEN2;SK;;23SR-EISEN2;;59.110383;-104.8664;2023;8;22;2023-08-22T00:00:00;2023-08-28T00:00:00;1445;N;;;;
NFDB_point.874;POINT (-1034502.4313400737 1145584.5010685176);PC-2023-2023WB29;PC;PC-WB;2023WB29;;58.0812;-113.2374;2023;8;22;2023-08-22T00:00:00;;5900;N;;MON;;
NFDB_point.108;POINT (-2012970.8880200854 865546.6862903573);BC-2023-2023-VA2884;BC;;2023-VA2884;NORDSCHOW CREEK;52.2916;-126.0645;2023;8;21;2023-08-21T00:00:00;2023-11-10T00:00:00;900;N;Fire;MON;;Mt Nyland - MONITOR ONLY
NFDB_point.300;POINT (-420305.9941028064 911147.653619383);SK-2023-23LA-KINO;SK;;23LA-KINO;;57.081448;-102.112563;2023;8;21;2023-08-21T00:00:00;2023-10-02T00:00:00;2238;N;;;;
NFDB_point.299;POINT (-810454.5325273362 1190894.645692171);SK-2023-23SR-DEBUS2;SK;;23SR-DEBUS2;;59.012867;-109.621583;2023;8;20;2023-08-20T00:00:00;2023-09-22T00:00:00;4816;N;;;;
NFDB_point.1;POINT (-1750186.0665132757 377790.0166569017);BC-2023-2023-K52813;BC;;2023-K52813;UPPER PARK RILL C...;49.3014;-119.7091;2023;8;18;2023-08-18T00:00:00;2023-10-26T00:00:00;2043.8;H;Fire;FUL;;Upper Park Rill Creek
NFDB_point.215;POINT (-1701969.5544106783 445138.94412516523);BC-2023-2023-K42815;BC;;2023-K42815;CLARKE CREEK;50.0275;-119.4413;2023;8;18;2023-08-18T00:00:00;2023-10-18T00:00:00;372.6;N;Fire;FUL;;Clarke Creek
NFDB_point.199;POINT (-2166448.1458916836 609415.7214206024);BC-2023-2023-V82787;BC;;2023-V82787;SILVERADO CREEK;49.5919;-126.2774;2023;8;17;2023-08-17T00:00:00;2023-11-10T00:00:00;425;U;Fire;MON;;E of Silverado Creek - MONITOR ONLY
NFDB_point.212;POINT (-1707152.5504055799 436090.29884599615);BC-2023-2023-K52808;BC;;2023-K52808;WALROY LAKE;49.9343;-119.4611;2023;8;17;2023-08-17T00:00:00;2023-10-18T00:00:00;733;U;Fire;FUL;;Walroy Lake
NFDB_point.16;POINT (-1967024.9019637648 641251.4873580709);BC-2023-2023-V52804;BC;;2023-V52804;TOBA RIVER;50.6693;-123.9888;2023;8;16;2023-08-16T00:00:00;2023-11-14T00:00:00;302;N;Fire;MON;;NW of Toba River - MONITOR ONLY
NFDB_point.214;POINT (-1719632.8809490371 438032.375301484);BC-2023-2023-K52767;BC;;2023-K52767;McDougall Creek;49.9081;-119.6328;2023;8;15;2023-08-15T00:00:00;2023-10-18T00:00:00;13970.4;U;Fire;FUL;;McDougall Creek
