province,fire_id,latitude,longitude,year,size_ha,cause,size
British Columbia,2018-R92132,59.4452,-128.6512,2018,156775.0,Natural,Medium
British Columbia,2018-R92162,57.91,-130.6285,2018,2568.0,Natural,Very small
British Columbia,2018-V12179,49.6921,-121.5444,2018,410.6,Natural,Very small
British Columbia,2018-V12169,49.7387,-121.2168,2018,281.7,Natural,Very small
British Columbia,2018-V12167,49.1431,-121.186,2018,5949.0,Natural,Very small
Saskatchewan,18SR-SNOOK,59.693556,-109.384004,2018,1107.5,Natural,Very small
Alberta,2018WB12,59.3109,-112.0929,2018,4752.6,Natural,Very small
Ontario,RED170,52.0648,-95.0591,2018,9401.099609,Natural,Very small
British Columbia,2018-G92084,58.9445,-120.7005,2018,17896.6,Natural,Very small
British Columbia,2018-R12068,53.3606,-126.7467,2018,60631.83,Natural,Small
British Columbia,2018-K42067,50.5934,-118.5665,2018,504.0,Natural,Very small
Manitoba,MB2018NE161,56.89861111,-92.93027778,2018,240.0,Natural,Very small
British Columbia,2018-G82215,57.4487,-121.1231,2018,23042.0,Natural,Very small
British Columbia,2018-C22371,51.8885,-122.2253,2018,300.0,Natural,Very small
British Columbia,2018-R32009,55.5305,-126.8278,2018,884.0,Natural,Very small
British Columbia,2018-G32051,52.3678,-118.5952,2018,10622.0,Natural,Very small
British Columbia,2018-G42036,53.5361,-124.4761,2018,224.0,Natural,Very small
British Columbia,2018-N72106,50.2327,-117.1555,2018,1045.0,Natural,Very small
British Columbia,2018-N52073,50.0804,-117.6024,2018,624.0,Natural,Very small
Yukon,2018TE002,60.49733333,-132.78605,2018,996.0,Natural,Very small
British Columbia,2018-R91655,58.4927,-130.9213,2018,3531.0,Natural,Very small
British Columbia,2018-R91947,57.9006,-131.252,2018,121215.0,Natural,Medium
British Columbia,2018-R41980,55.5625,-127.806,2018,562.0,Natural,Very small
British Columbia,2018-C11937,53.1239,-123.824,2018,13433.1,Natural,Very small
British Columbia,2018-C11837,52.9205,-125.2018,2018,12284.0,Natural,Very small
British Columbia,2018-C42331,51.2693,-120.8583,2018,245.0,Natural,Very small
British Columbia,2018-C42324,51.2507,-121.2912,2018,609.0,Natural,Very small
British Columbia,2018-V52153,50.9039,-124.1441,2018,2900.0,Natural,Very small
British Columbia,2018-V52743,50.7,-124.7304,2018,873.0,Natural,Very small
British Columbia,2018-R41913,55.6199,-127.2565,2018,10851.0,Natural,Very small
British Columbia,2018-R41945,55.6935,-127.8297,2018,2370.0,Natural,Very small
British Columbia,2018-G51928,55.7462,-125.8108,2018,1500.0,Natural,Very small
British Columbia,2018-R11921,53.9302,-125.3636,2018,21381.0,Natural,Very small
British Columbia,2018-N41889,51.6408,-118.4137,2018,481.0,Natural,Very small
British Columbia,2018-N21982,50.6709,-115.763,2018,3015.0,Natural,Very small
British Columbia,2018-N51880,50.4759,-117.8252,2018,234.0,Natural,Very small
British Columbia,2018-V92348,51.7617,-125.4193,2018,19050.2,Natural,Very small
Saskatchewan,18SR-DUM,58.874637,-109.539997,2018,6885.9,Natural,Very small
Saskatchewan,18BN-WOODS,56.6403,-107.986467,2018,7406.4,Natural,Very small
Saskatchewan,18BN-CARSWELL,58.706904,-109.174093,2018,5039.0,Natural,Very small
Saskatchewan,18BN-KEN,58.7063,-108.898083,2018,904.0,Natural,Very small
Manitoba,MB2018NE156,56.3375,-93.32388889,2018,635.0,Natural,Very small
Manitoba,MB2018NE157,56.30388889,-91.31194444,2018,311.0,Natural,Very small
Yukon,2018TE001,60.38523334,-131.67475,2018,3514.0,Natural,Very small
Yukon,2018XY011,60.02163334,-134.5851667,2018,2097.0,Natural,Very small
British Columbia,2018-G92052,58.7333,-127.7167,2018,2484.2,Natural,Very small
British Columbia,2018-C31678,52.4028,-121.1035,2018,1255.0,Natural,Very small
British Columbia,2018-C32603,52.6627,-120.6611,2018,1000.0,Natural,Very small
British Columbia,2018-C41844,52.0337,-120.6839,2018,407.0,Natural,Very small
British Columbia,2018-C41848,52.0631,-120.6626,2018,216.0,Natural,Very small
British Columbia,2018-C42358,52.0676,-120.445,2018,596.0,Natural,Very small
British Columbia,2018-C42138,51.9308,-120.9417,2018,587.0,Natural,Very small
British Columbia,2018-C42393,51.9851,-121.0548,2018,497.0,Natural,Very small
British Columbia,2018-C41745,51.4298,-121.9117,2018,7228.0,Natural,Very small
British Columbia,2018-R41684,56.1826,-127.8518,2018,1345.0,Natural,Very small
British Columbia,2018-R11683,53.7548,-125.3258,2018,8100.0,Natural,Very small
British Columbia,2018-R11796,53.8473,-125.9871,2018,47610.0,Natural,Small
British Columbia,2018-R21721,53.9067,-127.0659,2018,86767.0,Natural,Small
British Columbia,2018-G31718,52.4905,-118.7491,2018,803.0,Natural,Very small
British Columbia,2018-G31735,52.7728,-119.0516,2018,700.0,Natural,Very small
British Columbia,2018-N42293,51.6693,-118.5318,2018,338.0,Natural,Very small
British Columbia,2018-K41791,50.4238,-118.4569,2018,394.3,Unknown,Very small
British Columbia,2018-K41813,50.6212,-118.5988,2018,1370.4,Natural,Very small
British Columbia,2018-N21714,50.71,-116.39,2018,374.0,Natural,Very small
British Columbia,2018-K41800,50.1253,-118.8955,2018,858.0,Natural,Very small
British Columbia,2018-VA1964,52.7135,-126.2235,2018,44816.8,Natural,Small
British Columbia,2018-VA1787,52.9253,-126.4012,2018,79394.0,Natural,Small
Quebec,20181080524,51.399,-63.3979,2018,813.0,Natural,Very small
Yukon,2018WL012,60.06228334,-127.8375833,2018,1232.0,Natural,Very small
British Columbia,2018GL3,51.1067,-117.2675,2018,2324.0,Natural,Very small
British Columbia,2018KO6,50.9892,-115.9122,2018,3600.0,Natural,Very small
British Columbia,2018-R92033,59.8559,-128.6699,2018,100779.0,Natural,Medium
British Columbia,2018-G61601,56.6158,-124.282,2018,247.0,Natural,Very small
British Columbia,2018-G61633,55.7595,-124.842,2018,1110.0,Natural,Very small
British Columbia,2018-G61652,55.848,-125.0735,2018,2940.0,Natural,Very small
British Columbia,2018-G51634,55.1924,-125.3604,2018,2290.3,Natural,Very small
British Columbia,2018-G51636,55.4368,-125.3302,2018,1600.0,Natural,Very small
British Columbia,2018-G51632,54.8414,-124.6383,2018,8245.0,Natural,Very small
British Columbia,2018-G51653,55.1027,-125.7988,2018,2497.0,Natural,Very small
British Columbia,2018-G41607,53.3716,-124.5842,2018,20200.0,Human,Very small
Manitoba,MB2018NE152,56.99638889,-92.95666667,2018,568.0,Natural,Very small
Yukon,2018OC005,67.10015,-138.8843667,2018,1000.0,Natural,Very small
Yukon,2018OC006,66.41116667,-139.8546667,2018,200.0,Natural,Very small
Ontario,COC25,55.5882,-87.8163,2018,430.0,Natural,Very small
Ontario,COC23,50.2187,-81.6276,2018,375.0,Natural,Very small
British Columbia,2018-G61586,57.3765,-126.1253,2018,6987.0,Natural,Very small
British Columbia,2018-N51557,49.12,-117.1314,2018,703.0,Natural,Very small
Alberta,RWF045,51.879,-116.382,2018,1738.0,Natural,Very small
Ontario,COC30,55.7993,-88.3311,2018,365.0,Natural,Very small
Ontario,COC26,55.668,-87.961,2018,1200.0,Natural,Very small
British Columbia,2018-R91656,58.9113,-130.0461,2018,662.0,Natural,Very small
British Columbia,2018-N11886,49.48,-116.5108,2018,9284.0,Natural,Very small
British Columbia,2018-N72301,49.1312,-116.8605,2018,6798.0,Natural,Very small
British Columbia,2018-N72436,49.002,-115.8951,2018,1181.0,Natural,Very small
Manitoba,MB2018NE154,59.27222222,-96.27027778,2018,12643.3,Natural,Very small
Manitoba,MB2018NE176,56.23638889,-90.02194444,2018,964.0,Natural,Very small
Manitoba,MB2018NE149,55.98,-94.365,2018,236.0,Natural,Very small
Ontario,FOR24,48.503,-91.4641,2018,2626.0,Natural,Very small
British Columbia,2018-R11498,54.202,-125.2064,2018,92412.0,Human,Small
British Columbia,2018-N12407,50.0297,-115.1699,2018,760.0,Natural,Very small
British Columbia,2018-N41525,50.9809,-116.1457,2018,1334.0,Natural,Very small
British Columbia,2018-N51624,50.1906,-118.172,2018,795.6,Natural,Very small
British Columbia,2018-N12024,49.1331,-114.3607,2018,2007.0,Natural,Very small
British Columbia,2018-N71602,49.3797,-116.5135,2018,1558.0,Natural,Very small
Northwest Territories,FS021-18,60.071166,-120.597166,2018,240.4,Natural,Very small
British Columbia,2018RE5,51.0518,-117.9983,2018,340.0,Natural,Very small
British Columbia,2018KO3,50.9803,-116.1566,2018,445.0,Natural,Very small
Ontario,NIP49,53.2932,-88.0929,2018,398.6000061,Natural,Very small
British Columbia,2018-G91474,59.4179,-127.6563,2018,2358.5,Unknown,Very small
British Columbia,2018-G91472,59.9949,-122.2565,2018,2342.0,Natural,Very small
British Columbia,2018-R51479,54.6756,-127.9303,2018,868.7,Natural,Very small
Alberta,HWF177,59.269083,-119.4795,2018,3159.4,Natural,Very small
Yukon,2018OC004,66.75000001,-135.15,2018,220.0,Natural,Very small
Yukon,2018DA010,64.60821666,-140.7632167,2018,441.0,Natural,Very small
Northwest Territories,VQ006-18,65.926,-125.348333,2018,404.7,Natural,Very small
Northwest Territories,FS014-18,63.425833,-122.817333,2018,1437.6,Natural,Very small
Northwest Territories,FS016-18,60.6755,-121.894333,2018,366.9,Natural,Very small
Yukon,2018DA009,64.13816667,-140.2619,2018,655.0,Natural,Very small
